Gene Symbol	Alias(es)	Gene Name(s)
CLEC4A	DCIR,DDB27,CD367; C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 6,C-type lectin domain family 4, member A	C-type lectin domain family 4 member A
CLEC4D	Dectin 3; C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 8,C-type lectin domain family 4, member D; Mpcl,CD368,MCL,Dectin-3	C-type lectin domain family 4 member D
CLEC4E	C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 9,C-type lectin domain family 4, member E; Macrophage-inducible C-type lectin; mincle	C-type lectin domain family 4 member E
CLEC5A	C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 5,C-type lectin domain family 5, member A,C-type lectin domain family 5 member A; MDL-1	C-type lectin domain containing 5A
CLEC7A	dectin-1,hDectin-1,CD369,SCARE2; C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 12,C-type lectin domain family 7, member A,C-type lectin domain family 7 member A	C-type lectin domain containing 7A
CLOCK	clock (mouse) homolog,clock homolog (mouse); KIAA0334,KAT13D,bHLHe8	clock circadian regulator
CLU	SGP-2,SP-40,TRPM-2,KUB1,CLU1,CLU2; complement lysis inhibitor,sulfated glycoprotein 2,testosterone-repressed prostate message 2,apolipoprotein J; clusterin (complement lysis inhibitor, SP-40,40, sulfated glycoprotein 2, testosterone-repressed prostate message 2, apolipoprotein J)	clusterin
CMKLR1	chemokine-like receptor 1; RVER1; resolvin E1 receptor,chemerin receptor	chemerin chemokine-like receptor 1
CNTFR		ciliary neurotrophic factor receptor
COL11A1	collagen, type XI, alpha 1,deafness, autosomal dominant 37; collagen XI, alpha-1 polypeptide; STL2,CO11A1	collagen type XI alpha 1 chain
COL12A1	collagen type XII proteoglycan; collagen, type XII, alpha 1-like,collagen, type XII, alpha 1	collagen type XII alpha 1 chain
COL14A1	undulin,collagen, type XIV, alpha 1	collagen type XIV alpha 1 chain
COL15A1	collagen type XV proteoglycan; collagen, type XV, alpha 1	collagen type XV alpha 1 chain
COL16A1	collagen, type XVI, alpha 1	collagen type XVI alpha 1 chain
COL17A1	BP180; collagen, type XVII, alpha 1	collagen type XVII alpha 1 chain
COL18A1	Knobloch syndrome, type 1,collagen, type XVIII, alpha 1; endostatin; KS,KNO1	collagen type XVIII alpha 1 chain
COL1A1	OI4; collagen, type I, alpha 1	collagen type I alpha 1 chain
COL1A2	alpha 2(I)-collagen,alpha-2 collagen type I,type I procollagen,collagen I, alpha-2 polypeptide,collagen of skin, tendon and bone, alpha-2 chain; osteogenesis imperfecta type IV,collagen, type I, alpha 2,collagen type I alpha 2	collagen type I alpha 2 chain
COL21A1	collagen, type XXI, alpha 1	collagen type XXI alpha 1 chain
COL27A1	KIAA1870,MGC11337,FLJ11895; collagen, type XXVII, alpha 1,collagen type XXVII alpha 1	collagen type XXVII alpha 1 chain
COL3A1	Ehlers-Danlos syndrome type IV, autosomal dominant,collagen, type III, alpha 1	collagen type III alpha 1 chain
COL4A1	collagen, type IV, alpha 1	collagen type IV alpha 1 chain
COL4A2	canstatin,collagen type IV alpha 2; FLJ22259,DKFZp686I14213; collagen type IV alpha 2	collagen type IV alpha 2 chain
COL4A5	Alport syndrome,collagen, type IV, alpha 5,collagen type IV alpha 5	collagen type IV alpha 5 chain
COL5A1	collagen type V alpha 1; alpha 1 type V collagen	collagen type V alpha 1 chain
COL5A2	collagen, type V, alpha 2; AB collagen	collagen type V alpha 2 chain
COL5A3	collagen type V alpha 3	collagen type V alpha 3 chain
COL6A1	collagen, type VI, alpha 1	collagen type VI alpha 1 chain
COL6A2	collagen type VI alpha 2	collagen type VI alpha 2 chain
COL6A3	collagen, type VI, alpha 3	collagen type VI alpha 3 chain
COL8A1	MGC9568; chromosome 3 open reading frame 7,collagen, type VIII, alpha 1	collagen type VIII alpha 1 chain
COL9A1	collagen, type IX, alpha 1	collagen type IX alpha 1 chain
COL9A2	MED; collagen, type IX, alpha 2	collagen type IX alpha 2 chain
COL9A3	collagen, type IX, alpha 3; IDD,MED,EDM3,FLJ90759,DJ885L7.4.1; collagen type IX proteoglycan	collagen type IX alpha 3 chain
COTL1	coactosin-like 1 (Dictyostelium),coactosin-like F-actin binding protein 1; CLP	coactosin like F-actin binding protein 1
CPA3	carboxypeptidase A3 (mast cell); mast cell carboxypeptidase A,tissue carboxypeptidase A	carboxypeptidase A3
CPB1	pancreatic carboxypeptidase B,tissue carboxypeptidase B,protaminase; carboxypeptidase B1 (tissue)	carboxypeptidase B1
CRIP1	CRIP; cysteine-rich protein 1 (intestinal)	cysteine rich protein 1
CRP	C-reactive protein, pentraxin-related; pentraxin 1; PTX1	C-reactive protein
CRYAB	HSPB5; crystallin, alpha B	crystallin alpha B
CSF1	M-CSF,MCSF,MGC31930; colony stimulating factor 1 (macrophage); macrophage colony stimulating factor 1	colony stimulating factor 1
CSF1R	C-FMS,CSFR,CD115; McDonough feline sarcoma viral (v-fms) oncogene homolog	colony stimulating factor 1 receptor
CSF2	GM-CSF,GMCSF; sargramostim,molgramostim,granulocyte-macrophage colony stimulating factor; colony stimulating factor 2 (granulocyte-macrophage)	colony stimulating factor 2
CSF2RA	alpha-GM-CSF receptor; colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage); CD116,alphaGMR	colony stimulating factor 2 receptor subunit alpha
CSF2RB	beta common cytokine receptor,beta-GM-CSF receptor; IL5RB,CD131,betaGMR; colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage),colony stimulating factor 2 receptor beta common subunit	colony stimulating factor 2 receptor subunit beta
CSF3	granulocyte colony stimulating factor,pluripoietin,filgrastim,lenograstim; chromosome 17 open reading frame 33,colony stimulating factor 3 (granulocyte); MGC45931	colony stimulating factor 3
CSF3R	colony stimulating factor 3 receptor (granulocyte); GCSFR	colony stimulating factor 3 receptor
CSHL1	chorionic somatomammotropin CS-5; hCS-L,CSL,CS-5,MGC149868	chorionic somatomammotropin hormone like 1
CSK	c-src tyrosine kinase,CSK, non-receptor tyrosine kinase	C-terminal Src kinase
CST7	cystatin F (leukocystatin); leukocystatin	cystatin F
CTLA4	CD152,CD,GSE,CTLA-4; celiac disease 3,insulin-dependent diabetes mellitus 12	cytotoxic T-lymphocyte associated protein 4
CTNNB1	catenin (cadherin-associated protein), beta 1 (88kD),catenin (cadherin-associated protein), beta 1, 88kDa,catenin (cadherin-associated protein), beta 1; beta-catenin,armadillo	catenin beta 1
CTSG	CG	cathepsin G
CTSW	cathepsin W (lymphopain)	cathepsin W
CUZD1	ERG-1,UO-44; CUB and zona pellucida-like domains 1	CUB and zona pellucida like domains 1
CX3CL1	NTN,C3Xkine,ABCD-3,CXC3C,CXC3; small inducible cytokine subfamily D (Cys-X3-Cys), member 1 (fractalkine, neurotactin),chemokine (C-X3-C motif) ligand 1; fractalkine,neurotactin	C-X3-C motif chemokine ligand 1
CX3CR1	CMKDR1,V28,CCRL1; chemokine (C-X3-C) receptor 1,chemokine (C-X3-C motif) receptor 1	C-X3-C motif chemokine receptor 1
CXCL1	SCYB1,GROa,MGSA-a,NAP-3; GRO1 oncogene (melanoma growth stimulating activity, alpha),fibroblast secretory protein,chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha); melanoma growth stimulating activity, alpha	C-X-C motif chemokine ligand 1
CXCL10	IFI10,IP-10,crg-2,mob-1,C7,gIP-10; small inducible cytokine subfamily B (Cys-X-Cys), member 10,chemokine (C-X-C motif) ligand 10	C-X-C motif chemokine ligand 10
CXCL12	SCYB12,SDF-1a,SDF-1b,PBSF,TLSF-a,TLSF-b,TPAR1; stromal cell-derived factor 1,chemokine (C-X-C motif) ligand 12	C-X-C motif chemokine ligand 12
CXCL14	BRAK,NJAC,bolekine,Kec,MIP-2g,BMAC,KS1; small inducible cytokine subfamily B (Cys-X-Cys), member 14 (BRAK),chemokine (C-X-C motif) ligand 14; breast and kidney	C-X-C motif chemokine ligand 14
CXCL16	chemokine (C-X-C motif) ligand 16; CXC chemokine ligand 16; SR-PSOX,CXCLG16,SRPSOX	C-X-C motif chemokine ligand 16
CXCL17	Dcip1,UNQ473,DMC,VCC1; chemokine (C-X-C motif) ligand 17	C-X-C motif chemokine ligand 17
CXCL2	SCYB2,GROb,MIP-2a,MGSA-b,CINC-2a; GRO2 oncogene,chemokine (C-X-C motif) ligand 2	C-X-C motif chemokine ligand 2
CXCL3	SCYB3,GROg,MIP-2b,CINC-2b; GRO3 oncogene,chemokine (C-X-C motif) ligand 3	C-X-C motif chemokine ligand 3
CXCL5	ENA-78; small inducible cytokine subfamily B (Cys-X-Cys), member 5 (epithelial-derived neutrophil-activating peptide 78),chemokine (C-X-C motif) ligand 5	C-X-C motif chemokine ligand 5
CXCL6	GCP-2,CKA-3; granulocyte chemotactic protein 2; small inducible cytokine subfamily B (Cys-X-Cys), member 6 (granulocyte chemotactic protein 2),chemokine (C-X-C motif) ligand 6 (granulocyte chemotactic protein 2),chemokine (C-X-C motif) ligand 6	C-X-C motif chemokine ligand 6
CXCL8	interleukin 8,chemokine (C-X-C motif) ligand 8; neutrophil-activating peptide 1,granulocyte chemotactic protein 1,monocyte-derived neutrophil chemotactic factor,lung giant cell carcinoma-derived chemotactic protein,tumor necrosis factor-induced gene 1,monocyte-derived neutrophil-activating peptide,lymphocyte derived neutrophil activating peptide,beta endothelial cell-derived neutrophil activating peptide,alveolar macrophage chemotactic factor I; SCYB8,LUCT,LECT,MDNCF,TSG-1,IL-8,NAP-1,3-10C,MONAP,AMCF-I,LYNAP,NAF,b-ENAP,GCP-1,K60,GCP1,NAP1	C-X-C motif chemokine ligand 8
CXCL9	monokine induced by gamma interferon,chemokine (C-X-C motif) ligand 9; SCYB9,Humig,crg-10	C-X-C motif chemokine ligand 9
CXCR1	CKR-1,CDw128a,CD181; interleukin 8 receptor, alpha,chemokine (C-X-C motif) receptor 1	C-X-C motif chemokine receptor 1
CXCR2	CMKAR2,CD182; interleukin 8 receptor, beta,chemokine (C-X-C motif) receptor 2	C-X-C motif chemokine receptor 2
CXCR3	G protein-coupled receptor 9,chemokine (C-X-C motif) receptor 3; CKR-L2,CMKAR3,IP10-R,MigR,CD183	C-X-C motif chemokine receptor 3
CXCR4	LESTR,NPY3R,HM89,NPYY3R,D2S201E,fusin,HSY3RR,NPYR,CD184; chemokine (C-X-C motif), receptor 4 (fusin),chemokine (C-X-C motif) receptor 4	C-X-C motif chemokine receptor 4
CXCR5	Burkitt lymphoma receptor 1, GTP-binding protein,Burkitt lymphoma receptor 1, GTP binding protein (chemokine (C-X-C motif) receptor 5),chemokine (C-X-C motif) receptor 5; MDR15,CD185	C-X-C motif chemokine receptor 5
CXCR6	chemokine (C-X-C motif) receptor 6; TYMSTR,STRL33,BONZO,CD186	C-X-C motif chemokine receptor 6
CYP19A1	cytochrome P450, subfamily XIX (aromatization of androgens),cytochrome P450, family 19, subfamily A, polypeptide 1; ARO,P-450AROM,CPV1,ARO1,CYAR,aromatase	cytochrome P450 family 19 subfamily A member 1
CYP1B1	cytochrome P450, subfamily I (dioxin-inducible), polypeptide 1 (glaucoma 3, primary infantile),cytochrome P450, family 1, subfamily B, polypeptide 1; CP1B	cytochrome P450 family 1 subfamily B member 1
CYSTM1	ORF1-FL49; chromosome 5 open reading frame 32	cysteine rich transmembrane module containing 1
CYTOR	MGC4677; chromosome 2 open reading frame 59,non-protein coding RNA 152,long intergenic non-protein coding RNA 152	cytoskeleton regulator RNA
DCN	decorin proteoglycan; DSPG2,SLRR1B	decorin
DDC	AADC; aromatic L-amino acid decarboxylase	dopa decarboxylase
DDIT3	CHOP10,GADD153,CHOP; C/EBP zeta; DNA-damage-inducible transcript 3	DNA damage inducible transcript 3
DDR1	RTK6,CD167; discoidin domain receptor family, member 1	discoidin domain receptor tyrosine kinase 1
DDR2	TKT; discoidin domain receptor family, member 2	discoidin domain receptor tyrosine kinase 2
DDX58	RNA helicase RIG-I,retinoic acid inducible gene I; DEAD (Asp-Glu-Ala-Asp) box polypeptide 58; RIG-I,FLJ13599,DKFZp434J1111,RIG-1,RIG1	DExD/H-box helicase 58
DHRS2	HEP27,SDR25C1; short chain dehydrogenase/reductase family 25C, member 1; dehydrogenase/reductase (SDR family) member 2	dehydrogenase/reductase 2
DLL1	delta (Drosophila)-like 1,delta-like 1 (Drosophila)	delta like canonical Notch ligand 1
DMBT1	GP340,muclin,SALSA,Gp-340,hensin,vomeroglandin; salivary agglutinin,salivary scavenger and agglutinin	deleted in malignant brain tumors 1
DNMT1	DNA (cytosine-5-)-methyltransferase 1; MCMT,CXXC9	DNA methyltransferase 1
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	DNA methyltransferase 3 alpha
DNTT	TDT; deoxynucleotidyltransferase, terminal; Terminal deoxynucleotidyltransferase	DNA nucleotidylexotransferase
DPP4	dipeptidylpeptidase IV (CD26, adenosine deaminase complexing protein 2),adenosine deaminase complexing protein 2,dipeptidyl-peptidase 4; DPPIV	dipeptidyl peptidase 4
DST	BP240,KIAA0728,FLJ21489,FLJ13425,FLJ32235,FLJ30627,CATX-15,BPA,MACF2; bullous pemphigoid antigen 1, 230/240kDa	dystonin
DUSP1	HVH1,CL100,MKP-1	dual specificity phosphatase 1
DUSP2	PAC-1	dual specificity phosphatase 2
DUSP4	HVH2,MKP-2,TYP; VH1 homologous phosphatase 2,MAP kinase phosphatase 2	dual specificity phosphatase 4
DUSP5	HVH3	dual specificity phosphatase 5
DUSP6	MKP-3,PYST1	dual specificity phosphatase 6
EFNA1	EPH-related receptor tyrosine kinase ligand 1,Tumor necrosis factor alpha-induced protein 4,gastric cancer metastasis associated long noncoding RNA; LERK1,ECKLG,GMAN; ephrin-A1	ephrin A1
EFNA4	ephrin-A4; LERK4; EPH-related receptor tyrosine kinase ligand 4	ephrin A4
EFNA5	EPH-related receptor tyrosine kinase ligand 7; ephrin-A5; AF1,LERK7	ephrin A5
EFNB1	LERK2,Elk-L; EPH-related receptor tyrosine kinase ligand 2; craniofrontonasal syndrome (craniofrontonasal dysplasia),ephrin-B1	ephrin B1
EFNB2	ephrin-B2; HTK ligand,ligand of eph-related kinase 5,eph-related receptor tyrosine kinase ligand 5; LERK5,Htk-L,HTKL,MGC126226,MGC126227,MGC126228	ephrin B2
EFNB3	ephrin-B3; LERK-8; EPH-related receptor tyrosine kinase ligand 8	ephrin B3
EGF	Pro-epidermal growth factor; epidermal growth factor (beta-urogastrone)	epidermal growth factor
EGFR	erythroblastic leukemia viral (v-erb-b) oncogene homolog (avian),erb-b2 receptor tyrosine kinase 1; epidermal growth factor receptor (avian erythroblastic leukemia viral (v-erb-b) oncogene homolog); ERBB1,ERRP	epidermal growth factor receptor
EIF5A	EIF5A1,EIF-5A,MGC99547,MGC104255	eukaryotic translation initiation factor 5A
ELANE	neutrophil elastase,leukocyte elastase,medullasin,PMN Elastase,polymorphonuclear leukocyte elastase; elastase 2, neutrophil; NE,HNE,HLE,PMN-E	elastase, neutrophil expressed
EMP3	YMP	epithelial membrane protein 3
ENG	Osler-Rendu-Weber syndrome 1; END,HHT1,CD105	endoglin
ENTPD1	NTPDase-1,ATPDase,SPG64	ectonucleoside triphosphate diphosphohydrolase 1
EOMES	T-box brain2; TBR2; eomesodermin (Xenopus laevis) homolog	eomesodermin
EPCAM	antigen identified by monoclonal antibody AUA1,tumor-associated calcium signal transducer 1; trophoblast cell surface antigen 1; Ly74,TROP1,GA733-2,EGP34,EGP40,EGP-2,KSA,CD326,Ep-CAM,HEA125,KS1/4,MK-1,MH99,MOC31,323/A3,17-1A,TACST-1,CO-17A,ESA	epithelial cell adhesion molecule
EPHA2	EphA2	EPH receptor A2
EPHA3	EphA3; HEK,HEK4	EPH receptor A3
EPHA4	Hek8; EphA4	EPH receptor A4
EPHA7	Hek11; EphA7	EPH receptor A7
EPHB2	Hek5,Tyro5; EphB2	EPH receptor B2
EPHB3	EphB3; Hek2,Tyro6	EPH receptor B3
EPHB4	EphB4; Tyro11	EPH receptor B4
EPHB6	HEP; EphB6	EPH receptor B6
EPOR		erythropoietin receptor
ERBB2	NEU,HER-2,CD340,HER2; neuro/glioblastoma derived oncogene homolog,human epidermal growth factor receptor 2; v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2 (neuro/glioblastoma derived oncogene homolog),v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2	erb-b2 receptor tyrosine kinase 2
ERBB3	lethal congenital contracture syndrome 2,v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3; human epidermal growth factor receptor 3; HER3	erb-b2 receptor tyrosine kinase 3
ESAM	W117m	endothelial cell adhesion molecule
ESR1	NR3A1,Era,ER-alpha; nuclear receptor subfamily 3 group A member 1,estrogen receptor alpha,oestrogen receptor alpha,E2 receptor alpha	estrogen receptor 1
ETS1	FLJ10768,ETS-1; v-ets avian erythroblastosis virus E26 oncogene homolog 1; Avian erythroblastosis virus E26 (v-ets) oncogene homolog-1,ets protein	ETS proto-oncogene 1, transcription factor
ETV4	E1A-F,E1AF,PEA3; E1A enhancer binding protein; ets variant gene 4 (E1A enhancer-binding protein, E1AF),ETS variant 4	ETS variant transcription factor 4
ETV5	ets-related molecule; ets variant gene 5 (ets-related molecule),ETS variant 5; ERM	ETS variant transcription factor 5
EZH2	EZH1,ENX-1,KMT6,KMT6A; enhancer of zeste (Drosophila) homolog 2,enhancer of zeste homolog 2 (Drosophila)	enhancer of zeste 2 polycomb repressive complex 2 subunit
EZR	cytovillin 2; villin 2 (ezrin)	ezrin
FABP4	A-FABP,aP2; adipocyte fatty acid binding protein	fatty acid binding protein 4
FABP5	E-FABP,PA-FABP,KFABP; fatty acid binding protein 5 (psoriasis-associated)	fatty acid binding protein 5
FAS	CD95,APO-1; TNF receptor superfamily member 6; tumor necrosis factor receptor superfamily, member 6,Fas (TNF receptor superfamily, member 6)	Fas cell surface death receptor
FASLG	tumor necrosis factor (ligand) superfamily, member 6,Fas ligand (TNF superfamily, member 6); FasL,CD178	Fas ligand
FASN	short chain dehydrogenase/reductase family 27X, member 1; FAS,SDR27X1	fatty acid synthase
FCER1G	Fc epsilon receptor Ig; Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide	Fc fragment of IgE receptor Ig
FCGBP	IgG Fc binding protein,Human Fc gamma BP; FC(GAMMA)BP	Fc fragment of IgG binding protein
FCGR3A	Fc gamma receptor IIIa; Fc fragment of IgG, low affinity IIIa, receptor for (CD16),Fc fragment of IgG, low affinity IIIa, receptor (CD16a); CD16,CD16a	Fc fragment of IgG receptor IIIa
FCRLA	MGC4595,FCRLc2,FCRLb,FCRLc1,FCRLd,FCRLe,FCRL,FREB,FCRLX; Fc receptor-like and mucin-like 1,Fc receptor-like A	Fc receptor like A
FES	Oncogene FES, feline sarcoma virus,c-fes/fps protein; FPS; feline sarcoma (Snyder-Theilen) viral (v-fes)/Fujinami avian sarcoma (PRCII) viral (v-fps) oncogene homolog,feline sarcoma oncogene	FES proto-oncogene, tyrosine kinase
FFAR2	G protein-coupled receptor 43; FFA2R	free fatty acid receptor 2
FFAR3	G protein-coupled receptor 41; FFA3R	free fatty acid receptor 3
FFAR4	G protein-coupled receptor 129,G protein-coupled receptor 120,omega-3 fatty acid receptor 1; PGR4	free fatty acid receptor 4
FGF1	heparin-binding growth factor 1,endothelial cell growth factor, alpha,endothelial cell growth factor, beta; AFGF,ECGF,ECGFA,ECGFB,HBGF1,ECGF-beta,FGF-alpha,GLIO703; fibroblast growth factor 1 (acidic)	fibroblast growth factor 1
FGF12	fibroblast growth factor 12B,fibroblast growth factor homologous factor 1,myocyte-activating factor,fibroblast growth factor FGF-12b; FHF1	fibroblast growth factor 12
FGF13	fibroblast growth factor homologous factor 2; long intergenic non-protein coding RNA 889; FHF2,FGF2,FLJ30672	fibroblast growth factor 13
FGF18	FGF-18,ZFGF5	fibroblast growth factor 18
FGF2	fibroblast growth factor 2 (basic)	fibroblast growth factor 2
FGF7	fibroblast growth factor 7 (keratinocyte growth factor); KGF; keratinocyte growth factor	fibroblast growth factor 7
FGF9	fibroblast growth factor 9 (glia-activating factor); glia-activating factor	fibroblast growth factor 9
FGFR1	H2,H3,H4,H5,CEK,FLG,BFGFR,N-SAM,CD331; fms-related tyrosine kinase 2; Pfeiffer syndrome	fibroblast growth factor receptor 1
FGFR2	Crouzon syndrome,Pfeiffer syndrome; CEK3,TK14,TK25,ECT1,K-SAM,CD332; bacteria-expressed kinase,keratinocyte growth factor receptor,craniofacial dysostosis 1,Jackson-Weiss syndrome	fibroblast growth factor receptor 2
FGFR3	CEK2,JTK4,CD333; achondroplasia, thanatophoric dwarfism	fibroblast growth factor receptor 3
FGG	fibrinogen, gamma polypeptide	fibrinogen gamma chain
FGR	c-fgr,p55c-fgr; Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog,v-fgr feline Gardner-Rasheed sarcoma viral oncogene homolog,feline Gardner-Rasheed sarcoma viral oncogene homolog	FGR proto-oncogene, Src family tyrosine kinase
FKBP11	FKBP19; FK506 binding protein 11 (19 kDa),FK506 binding protein 11, 19 kDa,FK506 binding protein 11	FKBP prolyl isomerase 11
FLT1	vascular endothelial growth factor receptor 1,vascular permeability factor receptor; VEGFR1; fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor),fms-related tyrosine kinase 1,fms related tyrosine kinase 1	fms related receptor tyrosine kinase 1
FLT3LG	fms-related tyrosine kinase 3 ligand,fms related tyrosine kinase 3 ligand	fms related receptor tyrosine kinase 3 ligand
FN1	MSF,CIG,LETS,GFND2,FINC; migration-stimulating factor,cold-insoluble globulin	fibronectin 1
FOS	c-fos,AP-1; v-fos FBJ murine osteosarcoma viral oncogene homolog,FBJ murine osteosarcoma viral oncogene homolog	Fos proto-oncogene, AP-1 transcription factor subunit
FOXF1	FREAC1	forkhead box F1
FOXP3	JM2,XPID,AIID,PIDX,DIETER,SCURFIN; immune dysregulation, polyendocrinopathy, enteropathy, X-linked	forkhead box P3
FPR1	FPR,FMLP	formyl peptide receptor 1
FYB1	SLAP-130,FYB-120/130,ADAP; FYN-binding protein (FYB-120/130),FYN binding protein; adhesion and degranulation promoting adaptor protein	FYN binding protein 1
FYN	FYN oncogene related to SRC, FGR, YES; SYN,SLK,MGC45350	FYN proto-oncogene, Src family tyrosine kinase
FZD1	Wnt receptor,frizzled, Drosophila, homolog of, 1; frizzled (Drosophila) homolog 1,frizzled homolog 1 (Drosophila),frizzled 1, seven transmembrane spanning receptor,frizzled family receptor 1; DKFZp564G072	frizzled class receptor 1
FZD3	frizzled (Drosophila) homolog 3,frizzled homolog 3 (Drosophila),frizzled 3, seven transmembrane spanning receptor,frizzled family receptor 3	frizzled class receptor 3
FZD4	frizzled (Drosophila) homolog 4,exudative vitreoretinopathy 1,frizzled homolog 4 (Drosophila),frizzled 4, seven transmembrane spanning receptor,frizzled family receptor 4; CD344	frizzled class receptor 4
FZD5	frizzled (Drosophila) homolog 5,chromosome 2 open reading frame 31,frizzled homolog 5 (Drosophila),frizzled 5, seven transmembrane spanning receptor,frizzled family receptor 5; HFZ5,DKFZP434E2135	frizzled class receptor 5
FZD6	Hfz6; frizzled (Drosophila) homolog 6,frizzled homolog 6 (Drosophila),frizzled 6, seven transmembrane spanning receptor,frizzled family receptor 6	frizzled class receptor 6
FZD7	FzE3; frizzled (Drosophila) homolog 7,frizzled homolog 7 (Drosophila),frizzled 7, seven transmembrane spanning receptor,frizzled family receptor 7	frizzled class receptor 7
FZD8	frizzled (Drosophila) homolog 8,frizzled homolog 8 (Drosophila),frizzled 8, seven transmembrane spanning receptor,frizzled family receptor 8	frizzled class receptor 8
G6PC2	IGRP; islet specific glucose 6 phosphatase catalytic subunit related protein; glucose-6-phosphatase, catalytic, 2	glucose-6-phosphatase catalytic subunit 2
G6PD	G6PD1	glucose-6-phosphate dehydrogenase
GADD45B	myeloid differentiation primary response,growth arrest and DNA-damage-inducible beta; growth arrest and DNA-damage-inducible, beta; GADD45BETA,DKFZP566B133	growth arrest and DNA damage inducible beta
GAS6	AXSF,FLJ34709,DKFZp666G247; AXL stimulatory factor; AXL receptor tyrosine kinase ligand	growth arrest specific 6
GATA3	GATA-binding protein 3; HDR	GATA binding protein 3
GC	DBP,VDBP,hDBP; group-specific component (vitamin D binding protein),GC, vitamin D binding protein	GC vitamin D binding protein
GCG	glicentin-related polypeptide,glucagon-like peptide 1,glucagon-like peptide 2,preproglucagon; GLP1,GLP2,GRPP,GLP-1	glucagon
GDF10	BMP-3b	growth differentiation factor 10
GDF15	PLAB,MIC-1,PDF,MIC1,NAG-1,PTGFB; prostate differentiation factor,non-steroidal anti-inflammatory drug-activated gene-1,macrophage inhibitory cytokine-1	growth differentiation factor 15
GDF3		growth differentiation factor 3
GDF6	segmentation syndrome 1; BMP13,KFS,KFS1	growth differentiation factor 6
GDF9		growth differentiation factor 9
GDNF	astrocyte-derived trophic factor,glial cell line derived neurotrophic factor,glial derived neurotrophic factor; ATF1,ATF2,HFB1-GDNF	glial cell derived neurotrophic factor
GLUD1	GDH	glutamate dehydrogenase 1
GLUL	glutamate-ammonia ligase (glutamine synthase); glutamine synthetase	glutamate-ammonia ligase
GNLY	NKG5,LAG-2,D2S69E,TLA519; T-lymphocyte activation gene 519	granulysin
GPBAR1	BG37,GPCR,TGR5,M-BAR,GPCR19,GPR131,MGC40597	G protein-coupled bile acid receptor 1
GPER1	FEG-1,GPCR-Br,LERGU,LERGU2,DRY12,LyGPR,CEPR; G protein-coupled receptor 30	G protein-coupled estrogen receptor 1
GPNMB	transmembrane glycoprotein,glycoprotein NMB,glycoprotein nmb-like protein,osteoactivin,hematopoietic growth factor inducible neurokinin-1,glycoprotein nonmetastatic melanoma protein B; glycoprotein (transmembrane) nmb; NMB,HGFIN	glycoprotein nmb
GPR183	Epstein-Barr virus induced gene 2 (lymphocyte-specific G protein-coupled receptor); EBV-induced G-protein coupled receptor 2	G protein-coupled receptor 183
GPX1	selenoprotein GPX1	glutathione peroxidase 1
GPX3	glutathione peroxidase 3 (plasma); selenoprotein GPX3	glutathione peroxidase 3
GSN	DKFZp313L0718; gelsolin (amyloidosis, Finnish type); amyloidosis, Finnish type	gelsolin
GSTP1	GSTP	glutathione S-transferase pi 1
GZMA	CTL tryptase,Cytotoxic T-lymphocyte-associated serine esterase-3,Hanukah factor serine protease),granzyme 1; granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3)	granzyme A
GZMB	fragmentin 2,cytotoxic serine protease B,cathepsin G-like 1,T-cell serine protease 1-3E,granzyme 2,cytotoxic T-lymphocyte-associated serine esterase 1; CCPI,CGL-1,CSP-B,CGL1,CTSGL1,HLP,SECT; granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1)	granzyme B
GZMH	granzyme H (cathepsin G-like 2, protein h-CCPX); CGL-2,CCP-X,CTLA1,CSP-C; cathepsin G-like 2, protein h-CCPX	granzyme H
GZMK	tryptase II; granzyme K (serine protease, granzyme 3; tryptase II),granzyme K (granzyme 3; tryptase II); TRYP2,PRSS	granzyme K
H2AZ1	H2A histone family, member Z,H2A histone family member Z; H2A.Z	H2A.Z variant histone 1
H4C3	H4 histone family, member G,histone 1, H4c,histone cluster 1, H4c,histone cluster 1 H4 family member c; H4/g,dJ221C16.1	H4 clustered histone 3
HAVCR2	T-cell immunoglobulin mucin family member 3; Tim-3,TIM3,FLJ14428,TIMD3,CD366	hepatitis A virus cellular receptor 2
HBA1	HBA-T3; hemoglobin, alpha 1	hemoglobin subunit alpha 1
HBB	hemoglobin, beta; CD113t-C,beta-globin	hemoglobin subunit beta
HCAR2	HCA2,HM74A,PUMAG,Puma-g,NIACR1; G protein-coupled receptor 109A; niacin receptor 1	hydroxycarboxylic acid receptor 2
