cluster	gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj
1-4	C11orf96	5.7E-69	2.35	91.7%	41.1%	1.4E-64
1-4	SYNPO2	7.6E-67	0.51	36.1%	3.4%	1.9E-62
1-4	TPM2	9.2E-67	2.06	75.0%	19.7%	2.3E-62
1-4	ADH1B	3.6E-66	0.60	26.4%	1.5%	8.9E-62
1-4	AXL	4.6E-64	0.47	47.2%	6.8%	1.1E-59
1-4	CAVIN1	3.8E-63	0.65	65.3%	14.7%	9.6E-59
1-4	PTGDS	6.0E-61	1.90	63.9%	14.8%	1.5E-56
1-4	FHL1	8.6E-59	0.69	60.4%	13.3%	2.1E-54
1-4	TFPI	4.2E-58	0.58	40.3%	5.2%	1.1E-53
1-4	IGFBP6	2.3E-56	1.58	68.8%	18.3%	5.7E-52
1-4	PPP1R14A	5.2E-56	0.84	34.0%	3.8%	1.3E-51
1-4	C1R	8.1E-55	0.65	63.2%	15.2%	2.0E-50
1-4	MGP	1.3E-54	1.71	81.2%	30.9%	3.2E-50
1-4	PHLDA1	1.3E-54	0.58	45.1%	7.1%	3.2E-50
1-4	GPRC5A	2.3E-54	0.54	50.7%	9.6%	5.7E-50
1-4	FGF7	5.6E-54	0.51	27.1%	2.2%	1.4E-49
1-4	GYPC	1.0E-53	0.50	67.4%	17.4%	2.6E-49
1-4	TUBB6	2.4E-51	0.55	61.8%	15.8%	5.9E-47
1-4	COL1A1	3.5E-50	1.05	45.8%	8.4%	8.8E-46
1-4	IGF1	1.7E-49	0.94	30.6%	3.5%	4.3E-45
1-4	CCDC80	7.8E-46	1.66	41.7%	7.6%	2.0E-41
1-4	IGFBP5	2.0E-45	2.04	93.1%	53.6%	4.9E-41
1-4	IGFBP4	6.3E-45	0.91	91.0%	50.7%	1.6E-40
1-4	ATP1B3	7.7E-45	0.93	79.9%	31.4%	1.9E-40
1-4	VIM	1.1E-44	1.04	100.0%	74.9%	2.7E-40
1-4	C7	5.8E-44	0.64	18.8%	1.2%	1.5E-39
1-4	IL6	6.7E-44	0.65	41.7%	7.4%	1.7E-39
1-4	BAG3	5.3E-43	0.60	77.1%	29.0%	1.3E-38
1-4	PTMS	3.6E-42	0.72	89.6%	45.2%	9.0E-38
1-4	TAGLN	2.4E-41	2.36	81.9%	38.2%	5.9E-37
1-4	THBS1	8.4E-41	0.87	57.6%	16.5%	2.1E-36
1-4	TGM2	6.0E-40	0.65	64.6%	19.9%	1.5E-35
1-4	MCAM	2.0E-39	0.48	28.5%	3.8%	5.1E-35
1-4	GNG11	5.2E-39	0.72	63.2%	21.2%	1.3E-34
1-4	MYC	6.6E-39	0.76	77.1%	31.4%	1.6E-34
1-4	KLF9	8.4E-39	0.65	74.3%	29.5%	2.1E-34
1-4	THY1	1.2E-38	0.53	27.1%	3.6%	3.0E-34
1-4	ACTA2	1.2E-37	1.92	79.2%	38.5%	3.0E-33
1-4	F3	5.1E-37	0.63	50.0%	13.3%	1.3E-32
1-4	MYL9	1.1E-36	1.69	77.8%	33.4%	2.9E-32
1-4	RGS2	1.8E-35	0.63	58.3%	17.4%	4.6E-31
1-4	NBL1	8.9E-35	0.58	74.3%	32.1%	2.2E-30
1-4	MT1M	2.9E-34	0.85	29.2%	4.6%	7.3E-30
1-4	MFGE8	1.5E-33	0.55	77.1%	34.1%	3.7E-29
1-4	MYH11	2.5E-32	1.24	34.7%	7.4%	6.2E-28
1-4	CNN1	3.3E-32	1.27	43.8%	11.8%	8.1E-28
1-4	RAMP1	4.3E-32	0.82	71.5%	30.9%	1.1E-27
1-4	FLNA	5.4E-31	0.83	61.8%	24.6%	1.3E-26
1-4	UBB	1.5E-30	0.61	97.2%	60.8%	3.7E-26
1-4	EMP1	1.6E-30	0.97	66.7%	27.9%	4.1E-26
1-4	UAP1	3.6E-30	0.54	65.3%	25.1%	8.9E-26
1-4	MYADM	8.4E-30	0.51	90.3%	48.9%	2.1E-25
1-4	HSPA6	1.4E-29	0.69	38.2%	8.7%	3.6E-25
1-4	PPP1R12A	7.8E-29	0.50	77.8%	38.5%	1.9E-24
1-4	MT1A	1.8E-28	0.87	25.0%	4.1%	4.6E-24
1-4	TMSB4X	1.5E-26	0.49	99.3%	93.1%	3.7E-22
1-4	ID3	1.7E-26	0.71	86.1%	46.9%	4.3E-22
1-4	ADIRF	3.3E-26	0.92	84.0%	41.8%	8.3E-22
1-4	CAV1	4.4E-26	0.67	60.4%	24.7%	1.1E-21
1-4	DNAJB1	1.7E-25	0.69	97.9%	71.0%	4.4E-21
1-4	FTL	1.9E-25	0.54	100.0%	91.1%	4.7E-21
1-4	ZNF331	7.0E-25	0.72	81.2%	45.2%	1.8E-20
1-4	DES	7.7E-25	1.52	33.3%	8.3%	1.9E-20
1-4	HSPA1A	1.7E-24	0.89	95.8%	71.9%	4.3E-20
1-4	TPM1	2.3E-24	0.96	94.4%	72.2%	5.7E-20
1-4	ACTG2	2.2E-23	1.32	27.1%	5.9%	5.5E-19
1-4	MYLK	3.3E-23	1.17	65.3%	30.1%	8.2E-19
1-4	CREM	9.5E-23	0.60	75.7%	44.5%	2.4E-18
1-4	FOSB	4.3E-22	0.73	90.3%	62.6%	1.1E-17
1-4	LDHA	5.2E-22	0.50	94.4%	67.5%	1.3E-17
1-4	S100A4	2.2E-21	0.67	68.1%	37.2%	5.4E-17
1-4	RGS16	3.4E-21	0.54	47.2%	16.7%	8.4E-17
1-4	FSTL1	9.4E-21	0.50	57.6%	24.4%	2.4E-16
1-4	KLF2	2.1E-20	0.59	78.5%	43.7%	5.1E-16
1-4	ACTB	2.2E-20	0.55	100.0%	94.0%	5.5E-16
1-4	KLF4	3.3E-20	0.55	70.8%	39.7%	8.2E-16
1-4	COL1A2	3.8E-19	0.83	48.6%	19.5%	9.4E-15
1-4	SRGN	3.8E-19	0.50	43.1%	14.9%	9.6E-15
1-4	ID2	8.3E-19	0.50	63.9%	31.7%	2.1E-14
1-4	CSRP1	1.6E-18	0.80	90.3%	61.1%	4.0E-14
1-4	LPP	1.1E-17	0.52	61.1%	32.2%	2.7E-13
1-4	APOD	2.1E-17	0.48	29.2%	8.0%	5.2E-13
1-4	GSN	3.3E-17	0.68	88.9%	64.7%	8.1E-13
1-4	LMNA	4.3E-17	0.50	100.0%	86.0%	1.1E-12
1-4	TCEAL4	2.1E-16	0.49	90.3%	65.5%	5.3E-12
1-4	MT1X	4.7E-16	0.91	56.9%	28.4%	1.2E-11
1-4	MT2A	7.7E-16	1.10	89.6%	67.8%	1.9E-11
1-4	SELENOP	1.1E-15	0.51	81.9%	55.7%	2.7E-11
1-4	ACKR1	3.3E-15	0.60	11.8%	1.7%	8.2E-11
1-4	TIMP1	3.3E-12	0.55	99.3%	85.4%	8.2E-08
1-4	ICAM1	4.2E-12	0.52	58.3%	31.8%	1.0E-07
1-4	MDK	2.3E-11	0.49	72.2%	45.7%	5.7E-07
1-4	CCL21	2.1E-08	1.58	13.9%	4.1%	5.3E-04
1-4	CCL14	9.3E-04	0.61	21.5%	12.5%	1.0E+00
1-4	CCL2	2.9E-03	0.48	72.9%	63.2%	1.0E+00
1-4	CFD	6.9E-03	0.59	20.8%	13.9%	1.0E+00
