cluster	gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj
2-5	NOTCH2	2.4E-192	0.54	81.1%	29.6%	6.6E-188
2-5	ITGAV	6.2E-192	0.57	83.2%	31.8%	1.7E-187
2-5	MUC1	1.8E-191	0.75	100.0%	94.7%	4.9E-187
2-5	CST3	2.8E-191	0.92	100.0%	98.8%	8.0E-187
2-5	LYN	9.1E-191	0.63	81.8%	32.2%	2.5E-186
2-5	MT-ND5	1.6E-190	0.89	99.8%	98.1%	4.5E-186
2-5	GLIS3	2.0E-190	0.60	85.2%	35.3%	5.6E-186
2-5	FUT8	1.6E-189	0.48	77.2%	26.0%	4.5E-185
2-5	CMTM6	2.0E-189	0.80	99.3%	88.1%	5.5E-185
2-5	AHCYL1	5.5E-189	0.74	96.2%	64.2%	1.6E-184
2-5	TMED10	2.8E-188	0.66	98.7%	86.6%	7.7E-184
2-5	TMEM50B	2.2E-187	0.60	85.6%	37.7%	6.1E-183
2-5	SDF2L1	1.2E-186	0.79	94.2%	56.4%	3.4E-182
2-5	SQLE	8.8E-186	0.54	68.9%	20.6%	2.5E-181
2-5	NUCB2	1.4E-184	0.84	95.6%	63.4%	4.0E-180
2-5	MT-ND4L	1.6E-184	0.99	98.4%	82.5%	4.4E-180
2-5	CYP51A1	1.6E-184	0.91	88.7%	47.3%	4.4E-180
2-5	SLC38A2	1.1E-183	0.68	88.9%	38.2%	3.1E-179
2-5	SMIM14	2.6E-183	0.64	90.3%	44.4%	7.3E-179
2-5	SEL1L	3.0E-183	0.52	79.4%	29.5%	8.3E-179
2-5	COL18A1	3.6E-183	0.89	93.3%	62.7%	1.0E-178
2-5	ZBTB38	1.4E-182	0.83	93.6%	58.6%	4.0E-178
2-5	CERT1	7.9E-181	0.68	82.7%	35.4%	2.2E-176
2-5	IVNS1ABP	4.0E-179	0.55	80.9%	31.3%	1.1E-174
2-5	MYOF	1.1E-178	0.71	92.9%	50.9%	3.2E-174
2-5	VIM	9.2E-178	0.98	98.9%	88.1%	2.6E-173
2-5	PRKX	1.1E-177	0.66	91.6%	47.6%	2.9E-173
2-5	ESR1	2.4E-177	0.62	93.8%	51.7%	6.8E-173
2-5	PPM1K	4.6E-177	0.67	83.4%	35.2%	1.3E-172
2-5	SSR4	8.6E-177	0.72	99.5%	95.1%	2.4E-172
2-5	HIPK3	1.5E-176	0.66	91.1%	45.6%	4.3E-172
2-5	NET1	2.7E-176	0.70	92.2%	52.1%	7.4E-172
2-5	LDLR	7.2E-176	0.89	92.5%	51.1%	2.0E-171
2-5	MIA2	1.4E-175	0.53	80.5%	31.5%	3.8E-171
2-5	IFI16	2.7E-175	0.83	97.8%	74.6%	7.5E-171
2-5	HERPUD1	3.9E-175	0.94	95.8%	66.2%	1.1E-170
2-5	CLDN10	5.3E-175	0.81	98.0%	75.9%	1.5E-170
2-5	WNK1	8.6E-175	0.60	88.0%	43.3%	2.4E-170
2-5	GFPT1	1.0E-174	0.55	85.4%	35.8%	2.8E-170
2-5	MT-CO1	1.1E-174	0.53	99.8%	99.5%	3.0E-170
2-5	TLE1	5.3E-173	0.58	81.8%	33.8%	1.5E-168
2-5	HMGB3	7.5E-173	0.62	83.2%	38.3%	2.1E-168
2-5	ADAMTS1	1.3E-172	0.97	84.7%	36.1%	3.5E-168
2-5	SCARB2	1.5E-172	0.65	94.0%	55.6%	4.1E-168
2-5	SAT1	6.3E-172	0.92	100.0%	98.5%	1.8E-167
2-5	RBM47	6.9E-171	0.65	92.9%	52.1%	1.9E-166
2-5	MSI2	1.2E-170	0.54	89.3%	42.1%	3.3E-166
2-5	NFE2L1	1.4E-170	0.52	82.7%	34.4%	3.8E-166
2-5	PPP1CB	5.8E-170	0.67	99.3%	88.2%	1.6E-165
2-5	IDI1	6.7E-169	0.66	84.0%	37.6%	1.9E-164
2-5	FNDC3B	2.2E-168	0.51	85.2%	34.8%	6.1E-164
2-5	GOLGB1	1.7E-167	0.72	99.1%	72.9%	4.7E-163
2-5	AHR	2.9E-167	0.78	92.3%	57.9%	8.1E-163
2-5	CLTC	3.9E-166	0.58	90.7%	47.7%	1.1E-161
2-5	SLC1A5	5.4E-166	0.53	80.1%	33.5%	1.5E-161
2-5	MT-ATP8	8.3E-166	0.47	82.1%	31.0%	2.3E-161
2-5	TM9SF3	1.6E-165	0.60	96.4%	62.2%	4.6E-161
2-5	ATP1A1	7.7E-164	0.65	96.5%	72.0%	2.2E-159
2-5	RPN1	1.5E-163	0.60	91.6%	52.3%	4.2E-159
2-5	CD44	2.2E-163	0.76	93.3%	55.4%	6.0E-159
2-5	SLC34A2	2.4E-163	0.67	90.9%	50.0%	6.8E-159
2-5	PLCB1	2.8E-163	0.50	77.2%	28.8%	7.8E-159
2-5	KCNJ2	8.7E-162	0.47	51.9%	12.8%	2.4E-157
2-5	TC2N	9.0E-161	0.69	95.4%	61.9%	2.5E-156
2-5	MFHAS1	2.0E-160	0.58	82.5%	36.1%	5.5E-156
2-5	PNPLA8	5.5E-160	0.65	87.6%	43.9%	1.6E-155
2-5	EIF4G2	8.0E-160	0.61	98.9%	83.0%	2.3E-155
2-5	EFNB1	2.3E-159	0.54	80.1%	32.9%	6.4E-155
2-5	CNN3	1.4E-157	0.64	98.5%	87.2%	3.8E-153
2-5	SLC40A1	1.7E-157	0.78	99.3%	87.3%	4.7E-153
2-5	SEC61A1	3.0E-157	0.48	82.5%	35.6%	8.3E-153
2-5	BCAP29	1.5E-156	0.54	81.6%	35.4%	4.3E-152
2-5	RRBP1	2.8E-156	0.65	96.4%	73.5%	7.8E-152
2-5	STX18	5.5E-156	0.55	88.3%	44.7%	1.5E-151
2-5	MAGT1	3.0E-155	0.55	88.2%	45.9%	8.4E-151
2-5	MRPL33	5.8E-155	0.59	98.5%	86.9%	1.6E-150
2-5	DSP	7.9E-155	0.77	96.5%	70.7%	2.2E-150
2-5	ATP5ME	2.2E-154	0.56	99.6%	95.2%	6.2E-150
2-5	AZIN1	5.5E-154	0.53	88.2%	43.8%	1.5E-149
2-5	NORAD	5.5E-154	0.61	96.2%	69.7%	1.6E-149
2-5	IQGAP1	8.1E-153	0.63	96.9%	72.5%	2.3E-148
2-5	QSOX1	4.6E-152	0.54	84.9%	41.6%	1.3E-147
2-5	HIVEP2	5.9E-151	0.53	80.7%	34.0%	1.6E-146
2-5	CNDP2	2.4E-150	0.57	95.4%	62.5%	6.7E-146
2-5	DDR1	4.3E-150	0.55	91.3%	53.5%	1.2E-145
2-5	INSR	5.8E-150	0.69	96.5%	68.4%	1.6E-145
2-5	CD46	7.7E-150	0.66	96.9%	77.8%	2.2E-145
2-5	STT3B	1.4E-149	0.49	83.4%	39.0%	3.9E-145
2-5	ADD3	1.6E-149	0.60	89.6%	48.8%	4.4E-145
2-5	PREX2	7.9E-149	0.47	75.2%	28.9%	2.2E-144
2-5	PPIB	1.0E-148	0.55	99.3%	97.7%	2.8E-144
2-5	LONRF2	2.5E-148	0.57	86.3%	38.7%	7.1E-144
2-5	HNRNPA2B1	4.7E-148	0.51	100.0%	97.3%	1.3E-143
2-5	TBC1D1	3.4E-147	0.53	85.6%	41.8%	9.4E-143
2-5	TSPAN3	1.6E-145	0.53	98.2%	82.8%	4.4E-141
2-5	CRISP3	8.4E-145	1.15	95.8%	92.5%	2.3E-140
2-5	ANXA5	2.1E-144	0.55	99.1%	91.8%	5.9E-140
2-5	ITPR2	7.7E-144	0.57	84.9%	42.0%	2.1E-139
2-5	ATP8B1	2.3E-143	0.49	79.6%	34.1%	6.5E-139
2-5	SPRY1	1.4E-142	0.74	82.3%	39.1%	4.0E-138
2-5	SSR3	3.1E-141	0.55	98.4%	84.7%	8.6E-137
2-5	ACSL4	1.0E-139	0.49	78.9%	34.5%	2.8E-135
2-5	MAP4	4.5E-139	0.55	92.5%	56.7%	1.3E-134
2-5	LAMP2	5.9E-139	0.51	92.0%	52.5%	1.6E-134
2-5	SMIM22	3.1E-138	0.57	95.1%	66.2%	8.7E-134
2-5	TMED7	7.6E-137	0.52	88.3%	48.9%	2.1E-132
2-5	BAG5	1.7E-135	0.56	87.6%	50.9%	4.7E-131
2-5	EIF4G1	6.3E-135	0.50	90.5%	50.4%	1.8E-130
2-5	CEP70	7.6E-135	0.47	80.1%	36.6%	2.1E-130
2-5	AR	9.2E-135	0.60	95.8%	71.7%	2.6E-130
2-5	TACC1	1.3E-134	0.64	95.8%	70.9%	3.6E-130
2-5	TFRC	2.0E-134	0.50	84.9%	41.1%	5.5E-130
2-5	FBXO21	2.3E-134	0.57	99.6%	90.2%	6.4E-130
2-5	FNDC3A	2.6E-133	0.54	90.0%	53.3%	7.4E-129
2-5	MECOM	2.0E-132	0.50	78.0%	35.5%	5.7E-128
2-5	FRMD4B	2.3E-131	0.66	90.3%	54.7%	6.5E-127
2-5	TM9SF2	2.1E-130	0.47	85.8%	45.7%	5.8E-126
2-5	CLIP1	8.3E-130	0.51	82.9%	39.3%	2.3E-125
2-5	PJA2	4.2E-128	0.50	90.3%	53.7%	1.2E-123
2-5	C1orf122	4.2E-128	0.51	90.7%	51.7%	1.2E-123
2-5	CKB	7.1E-128	0.74	98.4%	88.5%	2.0E-123
2-5	PODXL	1.1E-127	0.75	82.0%	43.5%	3.2E-123
2-5	TPM3	4.6E-127	0.61	97.6%	88.2%	1.3E-122
2-5	CCNA1	2.3E-126	0.47	67.8%	24.5%	6.3E-122
2-5	SGK1	2.4E-126	0.49	74.7%	30.8%	6.6E-122
2-5	KMT2C	7.8E-126	0.50	83.8%	42.7%	2.2E-121
2-5	ACTN1	8.4E-126	0.50	93.1%	59.3%	2.3E-121
2-5	XIST	1.3E-124	0.67	96.5%	71.8%	3.6E-120
2-5	MACF1	3.5E-124	0.50	90.7%	51.7%	9.9E-120
2-5	USP9X	4.9E-124	0.50	88.0%	50.3%	1.4E-119
2-5	BBX	7.6E-124	0.57	92.0%	61.7%	2.1E-119
2-5	DNAJB11	1.0E-123	0.51	86.9%	50.7%	2.9E-119
2-5	RPN2	2.0E-123	0.50	95.6%	72.1%	5.5E-119
2-5	TTC3	1.2E-122	0.55	95.4%	71.6%	3.2E-118
2-5	TXNRD1	4.6E-121	0.59	90.5%	55.1%	1.3E-116
2-5	RHOU	3.2E-117	0.48	77.2%	36.2%	8.9E-113
2-5	KTN1	3.6E-116	0.49	98.5%	84.0%	1.0E-111
2-5	CYB5A	5.0E-116	0.48	97.4%	84.6%	1.4E-111
2-5	ITGB1	1.2E-114	0.47	96.9%	75.0%	3.4E-110
2-5	HDLBP	2.0E-114	0.48	94.5%	70.6%	5.5E-110
2-5	CTNNA1	6.7E-114	0.47	93.1%	65.2%	1.9E-109
2-5	F11R	6.8E-114	0.49	88.0%	51.9%	1.9E-109
2-5	P4HB	8.4E-113	0.48	95.1%	71.2%	2.4E-108
2-5	PBX1	1.3E-111	0.50	93.3%	63.1%	3.6E-107
2-5	FOSL2	3.0E-110	0.52	86.5%	50.6%	8.5E-106
2-5	SLFN5	5.8E-110	0.55	89.4%	56.4%	1.6E-105
2-5	AGR3	2.5E-108	0.69	88.0%	55.2%	7.1E-104
2-5	CLU	3.7E-106	0.60	100.0%	99.9%	1.0E-101
2-5	NEAT1	1.8E-105	0.80	98.2%	87.9%	5.1E-101
2-5	GSN	2.0E-105	0.52	99.6%	96.0%	5.6E-101
2-5	NEDD9	3.3E-104	0.54	83.4%	47.5%	9.1E-100
2-5	PRRC2C	1.3E-100	0.48	98.7%	85.7%	3.6E-96
2-5	WSB1	3.3E-100	0.53	93.3%	71.2%	9.2E-96
2-5	TMOD3	6.5E-99	0.49	97.4%	78.8%	1.8E-94
2-5	KLF5	9.7E-98	0.65	97.1%	83.2%	2.7E-93
2-5	AMD1	5.4E-97	0.50	94.9%	73.8%	1.5E-92
2-5	GOLGA4	8.0E-96	0.47	94.2%	68.8%	2.2E-91
2-5	WEE1	1.6E-91	0.59	87.1%	55.0%	4.5E-87
2-5	EHF	4.5E-89	0.51	94.9%	74.0%	1.3E-84
2-5	SCGB1D2	3.5E-87	1.24	87.2%	57.4%	9.9E-83
2-5	TGM2	1.8E-86	0.64	75.6%	42.5%	5.1E-82
2-5	SCGB3A1	4.2E-70	0.68	93.3%	68.1%	1.2E-65
2-5	IFI27	4.2E-46	0.59	68.9%	44.4%	1.2E-41
2-6	SRGN	0.0E+00	1.91	95.6%	12.2%	0.0E+00
2-6	IL7R	0.0E+00	1.40	50.3%	1.1%	0.0E+00
2-6	CCL5	0.0E+00	1.13	43.0%	0.8%	0.0E+00
2-6	PTPRC	0.0E+00	1.08	73.4%	1.2%	0.0E+00
2-6	CD69	0.0E+00	1.08	64.9%	3.1%	0.0E+00
2-6	SAMSN1	0.0E+00	0.75	65.8%	1.2%	0.0E+00
2-6	CPA3	0.0E+00	0.67	20.3%	0.4%	0.0E+00
2-6	LCP1	0.0E+00	0.66	57.9%	2.6%	0.0E+00
2-6	TRBC2	0.0E+00	0.60	44.3%	0.4%	0.0E+00
2-6	CD7	0.0E+00	0.60	42.4%	0.7%	0.0E+00
2-6	CD52	0.0E+00	0.59	54.7%	0.5%	0.0E+00
2-6	ALOX5AP	0.0E+00	0.58	52.5%	1.7%	0.0E+00
2-6	CD2	0.0E+00	0.56	48.7%	0.3%	0.0E+00
2-6	RGS1	0.0E+00	0.56	45.9%	0.9%	0.0E+00
2-6	KLRB1	0.0E+00	0.55	35.4%	0.5%	0.0E+00
2-6	BATF	0.0E+00	0.54	35.8%	1.5%	0.0E+00
2-6	CD3E	0.0E+00	0.54	50.6%	0.3%	0.0E+00
2-6	CST7	0.0E+00	0.53	45.6%	0.5%	0.0E+00
2-6	CD37	0.0E+00	0.49	52.5%	0.7%	0.0E+00
2-6	CYTIP	0.0E+00	0.47	47.2%	0.7%	0.0E+00
2-6	TPSAB1	1.9E-201	1.59	21.8%	1.0%	5.4E-197
2-6	STK17B	1.2E-154	0.57	64.9%	14.4%	3.4E-150
2-6	S100A4	2.4E-151	0.94	86.1%	30.0%	6.7E-147
2-6	SMAP2	7.6E-143	0.48	56.3%	11.5%	2.1E-138
2-6	CXCR4	5.4E-130	1.17	67.7%	20.5%	1.5E-125
2-6	ARHGDIB	6.7E-119	0.79	84.5%	37.9%	1.9E-114
2-6	RGS2	5.8E-102	0.54	49.7%	11.5%	1.6E-97
2-6	TPSB2	1.8E-101	2.14	22.5%	2.5%	4.9E-97
2-6	B2M	9.0E-86	0.65	100.0%	99.2%	2.5E-81
2-6	BTG1	3.2E-85	1.00	94.6%	78.6%	9.0E-81
2-6	CCL4	2.3E-84	1.08	37.3%	7.9%	6.5E-80
2-6	LEPROTL1	1.9E-75	0.57	70.9%	31.9%	5.4E-71
2-6	ETS1	3.8E-73	0.58	64.2%	24.6%	1.1E-68
2-6	CREM	3.7E-71	0.80	76.6%	40.9%	1.0E-66
2-6	TSC22D3	9.6E-62	0.83	80.4%	47.6%	2.7E-57
2-6	SH3BGRL3	1.1E-55	0.53	92.4%	74.1%	3.2E-51
2-6	IL32	9.3E-52	0.59	78.5%	44.3%	2.6E-47
2-6	AREG	6.7E-49	0.67	71.2%	33.9%	1.9E-44
2-6	DDIT4	6.0E-42	0.53	75.6%	44.2%	1.7E-37
2-6	VIM	4.9E-35	0.64	94.0%	88.4%	1.4E-30
2-6	FAM107B	1.2E-30	0.50	59.2%	33.9%	3.3E-26
2-6	TNFAIP3	1.9E-30	0.55	86.7%	63.6%	5.2E-26
